ACCOUNT_ID,ACCOUNT_NAME,REGION,SEGMENT,IS_LICENSED,_LOADED_AT
ACC001,Account 001 Inc,NAMER,1,FALSE,2026-06-01 00:00:00
ACC002,Account 002 Inc,APAC,2,TRUE,2026-06-01 00:00:00
ACC003,Account 003 Inc,EMEA,3,FALSE,2026-06-01 00:00:00
ACC004,Account 004 Inc,LATAM,4,TRUE,2026-06-01 00:00:00
ACC005,Account 005 Inc,NAMER,5,FALSE,2026-06-01 00:00:00
ACC006,Account 006 Inc,APAC,1,TRUE,2026-06-01 00:00:00
ACC007,Account 007 Inc,EMEA,2,FALSE,2026-06-01 00:00:00
ACC008,Account 008 Inc,LATAM,3,TRUE,2026-06-01 00:00:00
ACC009,Account 009 Inc,NAMER,4,FALSE,2026-06-01 00:00:00
ACC010,Account 010 Inc,APAC,5,TRUE,2026-06-01 00:00:00
