RECORD_ID,ACCOUNT_ID,AGENT_HASH_ID,ENGAGEMENT_ID,CHANNEL,START_TIME,DURATION_SEC,DIRECTION,FINAL_OUTCOME,SLA_ACHIEVED,_LOADED_AT
REC000271,ACC001,USR0001,ENG000271,CHAT,2026-04-26 09:37:43,676,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000272,ACC001,USR0001,ENG000272,CHAT,2026-05-04 10:28:39,336,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000273,ACC001,USR0001,ENG000273,CHAT,2026-05-11 15:53:31,1121,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000274,ACC001,USR0001,ENG000274,CHAT,2026-05-19 09:42:21,555,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000275,ACC008,USR0008,ENG000275,CHAT,2026-04-28 08:35:28,796,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000276,ACC008,USR0008,ENG000276,CHAT,2026-05-05 12:05:47,360,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000277,ACC008,USR0008,ENG000277,CHAT,2026-05-14 12:23:33,761,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000278,ACC005,USR0015,ENG000278,CHAT,2026-04-25 17:30:10,204,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000279,ACC005,USR0015,ENG000279,CHAT,2026-05-03 12:33:04,287,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000280,ACC005,USR0015,ENG000280,CHAT,2026-05-13 09:18:50,1114,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000281,ACC005,USR0015,ENG000281,CHAT,2026-05-18 12:24:23,321,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000282,ACC002,USR0022,ENG000282,CHAT,2026-04-26 08:15:39,474,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000283,ACC002,USR0022,ENG000283,CHAT,2026-05-02 15:31:06,412,Outbound,Closed,TRUE,2026-06-01 00:00:00
