RECORD_ID,ACCOUNT_ID,AGENT_HASH_ID,ENGAGEMENT_ID,CHANNEL,START_TIME,DURATION_SEC,DIRECTION,FINAL_OUTCOME,SLA_ACHIEVED,_LOADED_AT
REC000401,ACC001,USR0001,ENG000401,EMAIL,2026-04-28 14:12:33,3525,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000402,ACC001,USR0001,ENG000402,EMAIL,2026-05-06 15:44:47,2535,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000403,ACC001,USR0001,ENG000403,EMAIL,2026-05-12 13:21:28,3514,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000404,ACC008,USR0008,ENG000404,EMAIL,2026-04-22 14:03:46,2249,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000405,ACC008,USR0008,ENG000405,EMAIL,2026-04-29 09:49:54,3440,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000406,ACC008,USR0008,ENG000406,EMAIL,2026-05-09 13:05:52,1825,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000407,ACC008,USR0008,ENG000407,EMAIL,2026-05-16 12:40:34,372,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000408,ACC005,USR0015,ENG000408,EMAIL,2026-04-26 17:38:27,844,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000409,ACC005,USR0015,ENG000409,EMAIL,2026-05-04 17:00:07,191,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000410,ACC005,USR0015,ENG000410,EMAIL,2026-05-14 08:48:25,1015,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000411,ACC005,USR0015,ENG000411,EMAIL,2026-05-19 17:26:21,3393,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000412,ACC002,USR0022,ENG000412,EMAIL,2026-04-27 14:21:27,865,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000413,ACC002,USR0022,ENG000413,EMAIL,2026-05-04 13:45:34,3447,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000414,ACC002,USR0022,ENG000414,EMAIL,2026-05-14 11:25:51,2173,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000415,ACC005,USR0015,ENG000415,EMAIL,2026-05-16 14:37:42,3074,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000416,ACC005,USR0025,ENG000416,EMAIL,2026-05-06 11:02:45,3245,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000417,ACC008,USR0028,ENG000417,EMAIL,2026-04-30 08:40:11,1502,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000418,ACC008,USR0008,ENG000418,EMAIL,2026-04-24 10:50:25,2388,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000419,ACC007,USR0007,ENG000419,EMAIL,2026-05-05 08:09:40,1870,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000420,ACC008,USR0018,ENG000420,EMAIL,2026-04-28 14:40:21,1472,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000421,ACC003,USR0003,ENG000421,EMAIL,2026-05-30 13:08:50,3540,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000422,ACC003,USR0013,ENG000422,EMAIL,2026-05-23 09:05:11,3226,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000423,ACC005,USR0015,ENG000423,EMAIL,2026-05-12 14:18:20,1022,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000424,ACC005,USR0005,ENG000424,EMAIL,2026-04-28 14:06:11,2467,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000425,ACC002,USR0022,ENG000425,EMAIL,2026-05-04 14:30:52,2553,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000426,ACC008,USR0028,ENG000426,EMAIL,2026-05-18 14:48:58,1454,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000427,ACC008,USR0008,ENG000427,EMAIL,2026-05-05 09:03:38,1970,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000428,ACC001,USR0001,ENG000428,EMAIL,2026-05-03 15:00:56,2021,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000429,ACC001,USR0011,ENG000429,EMAIL,2026-04-22 15:54:26,2502,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000430,ACC008,USR0008,ENG000430,EMAIL,2026-04-28 14:38:52,125,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000431,ACC009,USR0029,ENG000431,EMAIL,2026-05-04 09:30:30,2313,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000432,ACC005,USR0015,ENG000432,EMAIL,2026-05-18 17:46:03,2650,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000433,ACC001,USR0001,ENG000433,EMAIL,2026-05-12 15:09:18,2511,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000434,ACC001,USR0001,ENG000434,EMAIL,2026-05-08 15:33:13,2223,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000435,ACC005,USR0025,ENG000435,EMAIL,2026-05-06 09:14:11,2530,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000436,ACC008,USR0028,ENG000436,EMAIL,2026-05-16 10:00:13,2534,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000437,ACC003,USR0023,ENG000437,EMAIL,2026-05-06 15:06:21,2953,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000438,ACC005,USR0015,ENG000438,EMAIL,2026-05-13 12:14:32,2376,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000439,ACC003,USR0003,ENG000439,EMAIL,2026-05-01 17:50:00,2386,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000440,ACC008,USR0008,ENG000440,EMAIL,2026-05-17 12:57:51,2927,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000441,ACC005,USR0015,ENG000441,EMAIL,2026-05-17 12:44:24,178,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000442,ACC008,USR0008,ENG000442,EMAIL,2026-04-26 17:22:52,1796,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000443,ACC007,USR0027,ENG000443,EMAIL,2026-05-18 14:38:32,1285,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000444,ACC003,USR0023,ENG000444,EMAIL,2026-05-15 14:44:45,3099,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000445,ACC002,USR0022,ENG000445,EMAIL,2026-04-26 12:23:39,2385,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000446,ACC010,USR0020,ENG000446,EMAIL,2026-05-16 09:40:19,556,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000447,ACC007,USR0017,ENG000447,EMAIL,2026-05-28 13:59:52,1846,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000448,ACC001,USR0001,ENG000448,EMAIL,2026-05-16 08:23:25,3317,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000449,ACC002,USR0022,ENG000449,EMAIL,2026-04-29 14:52:52,2613,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000450,ACC008,USR0008,ENG000450,EMAIL,2026-05-14 13:29:56,1854,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000451,ACC002,USR0022,ENG000451,EMAIL,2026-05-18 13:32:21,396,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000452,ACC010,USR0010,ENG000452,EMAIL,2026-05-05 09:10:48,1565,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000453,ACC002,USR0022,ENG000453,EMAIL,2026-05-14 13:08:23,1258,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000454,ACC007,USR0017,ENG000454,EMAIL,2026-05-28 10:33:03,408,Outbound,Missed,TRUE,2026-06-01 00:00:00
REC000455,ACC004,USR0014,ENG000455,EMAIL,2026-04-24 15:10:22,2285,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000456,ACC004,USR0004,ENG000456,EMAIL,2026-04-28 08:14:19,3536,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000457,ACC006,USR0016,ENG000457,EMAIL,2026-05-31 10:52:56,280,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000458,ACC001,USR0001,ENG000458,EMAIL,2026-04-28 14:03:14,423,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000459,ACC009,USR0009,ENG000459,EMAIL,2026-05-10 11:23:45,843,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000460,ACC004,USR0014,ENG000460,EMAIL,2026-04-24 14:48:33,773,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000461,ACC005,USR0015,ENG000461,EMAIL,2026-05-16 11:50:57,1406,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000462,ACC001,USR0001,ENG000462,EMAIL,2026-04-26 09:27:22,2673,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000463,ACC002,USR0022,ENG000463,EMAIL,2026-04-30 13:35:48,3323,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000464,ACC010,USR0020,ENG000464,EMAIL,2026-05-16 09:39:29,2346,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000465,ACC003,USR0013,ENG000465,EMAIL,2026-04-24 12:27:37,1362,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000466,ACC002,USR0022,ENG000466,EMAIL,2026-05-18 13:21:00,2759,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000467,ACC001,USR0001,ENG000467,EMAIL,2026-04-28 12:21:42,356,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000468,ACC005,USR0015,ENG000468,EMAIL,2026-05-13 10:02:25,1625,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000469,ACC003,USR0023,ENG000469,EMAIL,2026-05-06 10:02:45,2092,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000470,ACC005,USR0015,ENG000470,EMAIL,2026-04-26 09:45:00,546,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000471,ACC006,USR0016,ENG000471,EMAIL,2026-05-31 13:33:36,965,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000472,ACC004,USR0004,ENG000472,EMAIL,2026-04-28 11:17:29,2905,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000473,ACC002,USR0002,ENG000473,EMAIL,2026-05-03 11:59:22,1577,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000474,ACC009,USR0029,ENG000474,EMAIL,2026-05-04 16:32:46,697,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000475,ACC002,USR0002,ENG000475,EMAIL,2026-05-03 16:06:12,2555,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000476,ACC001,USR0001,ENG000476,EMAIL,2026-05-11 15:45:42,1751,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000477,ACC004,USR0004,ENG000477,EMAIL,2026-04-23 10:42:48,1882,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000478,ACC008,USR0018,ENG000478,EMAIL,2026-04-27 09:50:24,2328,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000479,ACC008,USR0008,ENG000479,EMAIL,2026-05-16 14:14:39,3539,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000480,ACC008,USR0008,ENG000480,EMAIL,2026-05-13 09:45:19,3022,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000481,ACC004,USR0014,ENG000481,EMAIL,2026-05-25 10:52:05,920,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000482,ACC008,USR0008,ENG000482,EMAIL,2026-05-14 15:12:33,963,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000483,ACC001,USR0001,ENG000483,EMAIL,2026-05-16 15:45:53,385,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000484,ACC003,USR0023,ENG000484,EMAIL,2026-05-15 11:49:04,263,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000485,ACC003,USR0013,ENG000485,EMAIL,2026-04-22 10:04:16,1205,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000486,ACC006,USR0006,ENG000486,EMAIL,2026-05-29 13:01:08,743,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000487,ACC004,USR0024,ENG000487,EMAIL,2026-04-23 14:39:09,1869,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000488,ACC010,USR0010,ENG000488,EMAIL,2026-05-05 09:09:42,969,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000489,ACC006,USR0026,ENG000489,EMAIL,2026-05-12 08:37:37,2323,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000490,ACC002,USR0022,ENG000490,EMAIL,2026-05-07 17:21:20,2270,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000491,ACC002,USR0012,ENG000491,EMAIL,2026-05-20 16:10:47,3118,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000492,ACC010,USR0030,ENG000492,EMAIL,2026-05-14 12:43:28,3319,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000493,ACC008,USR0018,ENG000493,EMAIL,2026-05-18 08:15:28,2596,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000494,ACC005,USR0025,ENG000494,EMAIL,2026-05-05 09:17:18,2278,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000495,ACC007,USR0007,ENG000495,EMAIL,2026-05-05 13:27:55,2340,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000496,ACC005,USR0015,ENG000496,EMAIL,2026-05-17 17:44:25,2704,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000497,ACC002,USR0022,ENG000497,EMAIL,2026-05-07 16:20:04,3504,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000498,ACC007,USR0007,ENG000498,EMAIL,2026-05-05 09:23:32,1650,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000499,ACC002,USR0022,ENG000499,EMAIL,2026-05-02 12:02:53,1007,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000500,ACC002,USR0012,ENG000500,EMAIL,2026-05-28 11:33:28,921,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000501,ACC005,USR0025,ENG000501,EMAIL,2026-05-05 08:32:30,3195,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000502,ACC008,USR0018,ENG000502,EMAIL,2026-04-27 13:39:41,1542,Inbound,Resolved,TRUE,2026-06-01 00:00:00
REC000503,ACC004,USR0024,ENG000503,EMAIL,2026-05-08 11:31:51,349,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000504,ACC007,USR0007,ENG000504,EMAIL,2026-05-05 14:07:39,1341,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000505,ACC005,USR0015,ENG000505,EMAIL,2026-05-01 10:14:50,3394,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000506,ACC002,USR0022,ENG000506,EMAIL,2026-04-27 10:03:04,179,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000507,ACC002,USR0022,ENG000507,EMAIL,2026-05-16 10:02:00,1227,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000508,ACC006,USR0016,ENG000508,EMAIL,2026-05-31 08:17:31,215,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000509,ACC010,USR0010,ENG000509,EMAIL,2026-04-22 09:14:14,2703,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000510,ACC005,USR0025,ENG000510,EMAIL,2026-05-11 08:39:59,1835,Outbound,Resolved,TRUE,2026-06-01 00:00:00
