RECORD_ID,ACCOUNT_ID,AGENT_HASH_ID,ENGAGEMENT_ID,CHANNEL,START_TIME,DURATION_SEC,DIRECTION,FINAL_OUTCOME,SLA_ACHIEVED,_LOADED_AT
REC000001,ACC001,USR0001,ENG000001,PHONE,2026-04-22 15:30:58,698,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000002,ACC001,USR0001,ENG000002,PHONE,2026-05-02 17:54:02,67,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000003,ACC001,USR0001,ENG000003,PHONE,2026-05-09 09:36:11,1646,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000004,ACC001,USR0001,ENG000004,PHONE,2026-05-17 14:06:59,1304,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000005,ACC008,USR0008,ENG000005,PHONE,2026-04-26 15:19:57,1580,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000006,ACC008,USR0008,ENG000006,PHONE,2026-05-02 08:56:49,1723,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000007,ACC008,USR0008,ENG000007,PHONE,2026-05-12 15:32:27,1600,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000008,ACC008,USR0008,ENG000008,PHONE,2026-05-18 14:46:31,735,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000009,ACC005,USR0015,ENG000009,PHONE,2026-05-01 10:49:26,1450,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000010,ACC005,USR0015,ENG000010,PHONE,2026-05-10 17:33:38,738,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000011,ACC005,USR0015,ENG000011,PHONE,2026-05-16 12:07:45,753,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000012,ACC002,USR0022,ENG000012,PHONE,2026-04-23 12:41:41,1489,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000013,ACC002,USR0022,ENG000013,PHONE,2026-04-30 12:22:47,1375,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000014,ACC002,USR0022,ENG000014,PHONE,2026-05-07 14:11:05,1559,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000015,ACC002,USR0022,ENG000015,PHONE,2026-05-17 13:38:35,293,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000016,ACC003,USR0003,ENG000016,PHONE,2026-05-13 10:50:13,197,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000017,ACC004,USR0024,ENG000017,PHONE,2026-05-28 15:53:15,444,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000018,ACC005,USR0005,ENG000018,PHONE,2026-04-27 10:35:19,1038,Inbound,Closed,FALSE,2026-06-01 00:00:00
