RECORD_ID,ACCOUNT_ID,AGENT_HASH_ID,ENGAGEMENT_ID,CHANNEL,START_TIME,DURATION_SEC,DIRECTION,FINAL_OUTCOME,SLA_ACHIEVED,_LOADED_AT
REC000151,ACC001,USR0001,ENG000151,SMS,2026-04-24 15:56:14,98,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000152,ACC001,USR0001,ENG000152,SMS,2026-05-03 17:20:11,112,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000153,ACC001,USR0001,ENG000153,SMS,2026-05-10 17:32:58,100,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000154,ACC001,USR0001,ENG000154,SMS,2026-05-18 10:27:47,73,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000155,ACC008,USR0008,ENG000155,SMS,2026-04-27 16:59:14,58,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000156,ACC008,USR0008,ENG000156,SMS,2026-05-03 16:07:32,49,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000157,ACC008,USR0008,ENG000157,SMS,2026-05-13 09:34:38,118,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000158,ACC005,USR0015,ENG000158,SMS,2026-04-23 16:07:07,19,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000159,ACC005,USR0015,ENG000159,SMS,2026-05-02 12:46:49,36,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000160,ACC005,USR0015,ENG000160,SMS,2026-05-12 09:15:15,45,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000161,ACC005,USR0015,ENG000161,SMS,2026-05-17 14:29:42,49,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000162,ACC002,USR0022,ENG000162,SMS,2026-04-24 11:51:54,75,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000163,ACC002,USR0022,ENG000163,SMS,2026-05-01 14:59:15,25,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000164,ACC002,USR0022,ENG000164,SMS,2026-05-08 08:09:52,91,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000165,ACC002,USR0022,ENG000165,SMS,2026-05-18 12:17:08,51,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000166,ACC002,USR0012,ENG000166,SMS,2026-04-23 11:04:00,26,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000167,ACC006,USR0016,ENG000167,SMS,2026-05-15 13:04:17,15,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000168,ACC006,USR0006,ENG000168,SMS,2026-05-29 11:55:11,73,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000169,ACC003,USR0013,ENG000169,SMS,2026-04-22 13:36:28,51,Inbound,Closed,TRUE,2026-06-01 00:00:00
REC000170,ACC002,USR0022,ENG000170,SMS,2026-05-18 16:54:56,119,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000171,ACC003,USR0023,ENG000171,SMS,2026-05-06 16:16:17,81,Inbound,Resolved,FALSE,2026-06-01 00:00:00
REC000172,ACC001,USR0021,ENG000172,SMS,2026-05-01 08:18:48,38,Inbound,Answered,TRUE,2026-06-01 00:00:00
REC000173,ACC010,USR0010,ENG000173,SMS,2026-05-05 15:03:18,88,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000174,ACC001,USR0001,ENG000174,SMS,2026-04-28 10:15:04,39,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000175,ACC002,USR0012,ENG000175,SMS,2026-05-20 08:33:41,16,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000176,ACC001,USR0011,ENG000176,SMS,2026-04-30 12:05:39,39,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000177,ACC005,USR0015,ENG000177,SMS,2026-04-25 14:23:23,73,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000178,ACC002,USR0022,ENG000178,SMS,2026-05-08 10:24:28,25,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000179,ACC002,USR0022,ENG000179,SMS,2026-05-07 14:40:23,84,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000180,ACC003,USR0013,ENG000180,SMS,2026-04-30 09:25:57,68,Inbound,Closed,TRUE,2026-06-01 00:00:00
