RECORD_ID,ACCOUNT_ID,AGENT_HASH_ID,ENGAGEMENT_ID,CHANNEL,START_TIME,DURATION_SEC,DIRECTION,FINAL_OUTCOME,SLA_ACHIEVED,_LOADED_AT
REC000511,ACC001,USR0001,ENG000511,VIDEO,2026-04-29 09:44:57,689,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000512,ACC001,USR0001,ENG000512,VIDEO,2026-05-08 13:44:19,4366,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000513,ACC001,USR0001,ENG000513,VIDEO,2026-05-16 17:13:44,5311,Outbound,Resolved,FALSE,2026-06-01 00:00:00
REC000514,ACC008,USR0008,ENG000514,VIDEO,2026-04-24 13:38:53,2488,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000515,ACC008,USR0008,ENG000515,VIDEO,2026-05-01 16:31:39,2243,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000516,ACC008,USR0008,ENG000516,VIDEO,2026-05-10 10:41:00,536,Outbound,Closed,TRUE,2026-06-01 00:00:00
REC000517,ACC008,USR0008,ENG000517,VIDEO,2026-05-17 09:02:06,2673,Outbound,Answered,FALSE,2026-06-01 00:00:00
REC000518,ACC005,USR0015,ENG000518,VIDEO,2026-04-30 17:46:53,4341,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000519,ACC005,USR0015,ENG000519,VIDEO,2026-05-08 14:54:06,1279,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000520,ACC005,USR0015,ENG000520,VIDEO,2026-05-15 17:53:08,4361,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000521,ACC002,USR0022,ENG000521,VIDEO,2026-04-22 16:08:40,5189,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000522,ACC002,USR0022,ENG000522,VIDEO,2026-04-29 08:16:06,4670,Inbound,Answered,FALSE,2026-06-01 00:00:00
REC000523,ACC002,USR0022,ENG000523,VIDEO,2026-05-05 11:35:14,3022,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000524,ACC002,USR0022,ENG000524,VIDEO,2026-05-16 10:28:36,5373,Outbound,Missed,FALSE,2026-06-01 00:00:00
REC000525,ACC003,USR0013,ENG000525,VIDEO,2026-04-24 09:17:45,1160,Outbound,Answered,TRUE,2026-06-01 00:00:00
REC000526,ACC002,USR0012,ENG000526,VIDEO,2026-05-20 08:33:38,2134,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000527,ACC001,USR0001,ENG000527,VIDEO,2026-05-10 12:11:24,1589,Inbound,Missed,FALSE,2026-06-01 00:00:00
REC000528,ACC008,USR0008,ENG000528,VIDEO,2026-04-28 09:45:22,4035,Outbound,Resolved,TRUE,2026-06-01 00:00:00
REC000529,ACC005,USR0015,ENG000529,VIDEO,2026-05-12 13:47:28,3017,Outbound,Closed,FALSE,2026-06-01 00:00:00
REC000530,ACC010,USR0030,ENG000530,VIDEO,2026-05-28 14:33:02,4720,Inbound,Missed,TRUE,2026-06-01 00:00:00
REC000531,ACC003,USR0003,ENG000531,VIDEO,2026-05-30 09:53:39,4299,Inbound,Closed,FALSE,2026-06-01 00:00:00
REC000532,ACC007,USR0017,ENG000532,VIDEO,2026-05-28 16:18:06,2525,Outbound,Answered,FALSE,2026-06-01 00:00:00
